ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCLANPO24N000015010","장소","관광지","3008788","대진여행사",,,"60403","항공사/여행사","4812913900111710033","경상남도","창원시 진해구","경화동",,"1171-33","4812913900","4812955000","481293331067","충장로","235","128.677774217215","35.1530078794759","마라072848","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015011","장소","관광지","3008803","하나세계여행",,,"60403","항공사/여행사","4131010400102560001","경기도","구리시","교문동",,"256-1","4131010400","4131054100","413104388074","동구릉로6번길","5","127.131426419995","37.6014660441576","다사674558","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015012","장소","관광지","3008825","세중쓰어데스크코리아",,,"60403","항공사/여행사","1144012200101980049","서울특별시","마포구","합정동",,"198-49","1144012200","1144068000","114403113023","토정로","28","126.914061694437","37.5455036241045","다사482497","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015013","장소","관광지","3008842","뉴쌍윤관광",,,"60403","항공사/여행사","4122011300100520002","경기도","평택시","평택동",,"52-2","4122011300","4122059000","412203188122","평택로","38","127.087810356493","36.9910075903572","다바633881","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015014","장소","관광지","3008872","토성항공여행사",,,"60403","항공사/여행사","2617010100111990009","부산광역시","동구","초량동",,"1199-9","2617010100","2617053000","261702000010","중앙대로","216","129.040803066827","35.1163330338833","마라404812","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015015","장소","관광지","3008892","여명코퍼레이션",,,"60403","항공사/여행사","5011013700102920093","제주특별자치도","제주시","연동",,"292-93","5011013700","5011065000","501104848252","연동13길","5","126.494757156257","33.4890516173907","다다066001","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015016","장소","관광지","3008960","정운고속관광",,,"60403","항공사/여행사","4831010900101230004","경상남도","거제시","고현동",,"123-4","4831010900","4831058000","483104811025","거제중앙로15길","4","128.624794717435","34.8841528396935","마라027549","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015017","장소","관광지","3008969","21세기여행사",,,"60403","항공사/여행사","4711312000110960006","경상북도","포항시 북구","두호동",,"1096-6","4711312000","4711369000","471133304005","대곡로","47","129.373176364413","36.0671428914037","마마686872","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015018","장소","관광지","3009027","원하나트래블",,,"60403","항공사/여행사","4122011300100550003","경기도","평택시","평택동",,"55-3","4122011300","4122059000","412203188122","평택로","41","127.087080850188","36.9911254871392","다바632881","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015019","장소","관광지","3009042","서울관광",,,"60403","항공사/여행사","2817710500102510003","인천광역시","미추홀구","주안동",,"251-3","2817710500","2817765000","281772008007","경원대로","817","126.689322743705","37.4555877340555","다사283399","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015020","장소","관광지","3009080","모두랑투어",,,"60403","항공사/여행사","2617010100111470014","부산광역시","동구","초량동",,"1147-14","2617010100","2617053000","261702000010","중앙대로","263","129.042163567516","35.1205520579255","마라405816","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015021","장소","관광지","3009091","새울투어시스템",,,"60403","항공사/여행사","1144012500105930005","서울특별시","마포구","성산동",,"593-5","1144012500","1144073000","114404139209","모래내로3길","11","126.904565729387","37.5649844941394","다사474519","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015022","장소","관광지","3009139","델타에어에이젠시",,,"60403","항공사/여행사","1114016600100390001","서울특별시","중구","서소문동",,"39-1","1114016600","1114052000","111404103177","서소문로11길","50","126.973134922745","37.5648476630566","다사534518","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015023","장소","관광지","3009160","누리여행",,,"60403","항공사/여행사","4812312500100980001","경상남도","창원시 성산구","중앙동",,"98-1","4812312500","4812352000","481234784241","중앙대로83번길","13","128.677106478472","35.2230018354365","마라071925","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015024","장소","관광지","3009201","보람여행사",,,"60403","항공사/여행사","4127310100107290006","경기도","안산시 단원구","고잔동",,"729-6","4127310100","4127353500","412733190012","광덕4로","246","126.839878752539","37.3143537136627","다사415241","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015025","장소","관광지","3009251","한국중국여행사",,,"60403","항공사/여행사","1114010200100920000","서울특별시","중구","다동",,"92","1114010200","1114055000","111404103026","다동길","46","126.981726214946","37.5678614880136","다사542521","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015026","장소","관광지","3009266","에스벤여행사",,,"60403","항공사/여행사","4122011000107730007","경기도","평택시","지산동",,"773-7","4122011000","4122056000","412203188089","지산로","25","127.0576277387","37.0794711347217","다바606979","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015027","장소","관광지","3009363","일광여행사",,,"60403","항공사/여행사","1111012400100580000","서울특별시","종로구","수송동",,"58","1111012400","1111061500","111103100006","삼봉로","81","126.981502938724","37.5725295719292","다사542526","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015028","장소","관광지","3009431","충남전세버스협동조합",,,"60403","항공사/여행사","4418010200103250001","충청남도","보령시","죽정동",,"325-1","4418010200","4418051500","441803252008","대천로","256","126.614870253777","36.3655293261576","다바205190","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015029","장소","관광지","3009468","뉴삼호여행사",,,"60403","항공사/여행사","4122011300100550001","경기도","평택시","평택동",,"55-1","4122011300","4122059000","412204364864","평택로39번길","2","127.087315691478","36.9909635942646","다바632881","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015030","장소","관광지","3009523","실크로드여행사",,,"60403","항공사/여행사","1111012900100680005","서울특별시","종로구","견지동",,"68-5","1111012900","1111061500","111103100009","우정국로","48","126.983299765206","37.5733498333539","다사543527","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015031","장소","관광지","3009550","범흥이주여행사",,,"60403","항공사/여행사","4122011200103020173","경기도","평택시","신장동",,"302-173","4122011200","4122058000","412203188052","신장로","50-1","127.050089829454","37.079890877576","다바600980","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015032","장소","관광지","3009645","동아항공여행사",,,"60403","항공사/여행사","2729011200102570011","대구광역시","달서구","죽전동",,"257-11","2729011200","2729056300","272903143013","와룡로","217","128.536959871484","35.8522977646649","라마936622","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015033","장소","관광지","3009779","테마여행사",,,"60403","항공사/여행사","2920011400114370000","광주광역시","광산구","수완동",,"1437","2920011400","2920063700","292004289548","임방울대로332번길","9-18","126.82589935602","35.1900155833016","다라386885","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015034","장소","관광지","3009781","탑스투어",,,"60403","항공사/여행사","3114010500106290008","울산광역시","남구","달동",,"629-8","3114010500","3114056000","311404310393","삼산로125번길","3","129.320859717702","35.5362681049789","마마650282","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015035","장소","관광지","3009787","에이치와이국제투어",,,"60403","항공사/여행사","1114016200102510085","서울특별시","중구","신당동",,"251-85","1114016200","1114061500","111404103376","퇴계로73가길","21","127.013269551237","37.5663293392603","다사570519","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015036","장소","관광지","3009793","워니투어",,,"60403","항공사/여행사","1111012400100580000","서울특별시","종로구","수송동",,"58","1111012400","1111061500","111103100006","삼봉로","81","126.981502938724","37.5725295719292","다사542526","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015037","장소","관광지","3009808","대구가자투어",,,"60403","항공사/여행사","2711010200100510000","대구광역시","중구","동인동2가",,"51","2711010200","2711051700","271103007001","국채보상로","655","128.602265004218","35.8700767040242","라마995642","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015038","장소","관광지","3009829","세계로여행사",,,"60403","항공사/여행사","1171010800106340000","서울특별시","송파구","문정동",,"634","1171010800","1171064200","117103123017","충민로","66","127.125542881282","37.4775974760686","다사668421","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015039","장소","관광지","3009840","코리아브릿지",,,"60403","항공사/여행사","1156013300110520035","서울특별시","영등포구","대림동",,"1052-35","1156013300","1156072000","115604154244","도림로31길","6","126.895719401203","37.4929040788883","다사465439","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015040","장소","관광지","3009861","비오비스",,,"60403","항공사/여행사","4119210900104470000","경기도","부천시 원미구","상동",,"447","4119210900","4119267000","411923184006","상일로","120","126.755612309372","37.4911297898252","다사341438","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015041","장소","관광지","3009872","전주여행사랑",,,"60403","항공사/여행사","5211114000104540001","전북특별자치도","전주시 완산구","효자동1가",,"454-1","5211114000","5211171300","521113266053","용머리로","36","127.114469346041","35.8055147781541","다마651566","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015042","장소","관광지","3009874","강릉이야기",,,"60403","항공사/여행사","5115010100110180002","강원특별자치도","강릉시","홍제동",,"1018-2","5115010100","5115051000","511503220063","선수촌로","79-29","128.866954337216","37.757751902077","마사204740","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015043","장소","관광지","3009885","베이스캠프인터내셔날투어",,,"60403","항공사/여행사","1114010100100190000","서울특별시","중구","무교동",,"19","1114010100","1114055000","111403005002","무교로","16","126.979527385539","37.5673419226929","다사540521","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015044","장소","관광지","3009912","에코마이스",,,"60403","항공사/여행사","1168010500101590000","서울특별시","강남구","삼성동",,"159","1168010500","1168058000","116804166765","영동대로","513","127.05915904411","37.5118239418734","다사610459","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015045","장소","관광지","3009915","화미동방여행사",,,"60403","항공사/여행사","1144012000104770005","서울특별시","마포구","서교동",,"477-5","1144012000","1144066000","114404139101","동교로13길","14","126.913316171363","37.5552058938812","다사481508","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015046","장소","관광지","3009941","나우유트레블",,,"60403","항공사/여행사","5211313000105580006","전북특별자치도","전주시 덕진구","여의동",,"558-6","5211313000","5211366500","521132266001","기린대로","945-6","127.081048555765","35.8636615890645","다마621630","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015047","장소","관광지","3009966","나들이여행사앤성운고속관광",,,"60403","항공사/여행사","4812912000100260004","경상남도","창원시 진해구","회현동",,"26-4","4812912000","4812953000","481294793609","편백로7번길","22","128.65715957358","35.1513917676729","마라054846","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015048","장소","관광지","3009998","엠브이피트레블",,,"60403","항공사/여행사","4824033032105140003","경상남도","사천시","용현면","덕곡리","514-3","4824033032","4824033000","482403334046","진삼로","541","128.060315388955","35.0049949780944","라라511679","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015049","장소","관광지","3010004","님여행사",,,"60403","항공사/여행사","2626010600106660001","부산광역시","동래구","수안동",,"666-1","2626010600","2626051000","262604190498","충렬대로200번길","25","129.08009159008","35.2015541023484","마라438907","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015050","장소","관광지","3010007","티제이투어항공여행사",,,"60403","항공사/여행사","4131010400102030008","경기도","구리시","교문동",,"203-8","4131010400","4131054100","413103000120","경춘로","152","127.132052982327","37.6004834585148","다사675557","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015051","장소","관광지","3010091","하나가오여행사",,,"60403","항공사/여행사","2617010100111690003","부산광역시","동구","초량동",,"1169-3","2617010100","2617053000","261702000010","중앙대로","270","129.04306270577","35.1206436669236","마라406816","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015052","장소","관광지","3010100","다음여행클럽",,,"60403","항공사/여행사","1171010800106340000","서울특별시","송파구","문정동",,"634","1171010800","1171064200","117103123017","충민로","66","127.12444758198","37.4775139585698","다사667420","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015053","장소","관광지","3010105","한결투어",,,"60403","항공사/여행사","1111011800100750000","서울특별시","종로구","내수동",,"75","1111011800","1111053000","111104100158","새문안로3길","36","126.97327274396","37.5734317981166","다사534528","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015054","장소","관광지","3010118","썬에어시스템",,,"60403","항공사/여행사","2611010700100360014","부산광역시","중구","중앙동4가",,"36-14","2611010700","2611051000","261103125007","해관로","65","129.035305295288","35.1047167659932","마라399799","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015055","장소","관광지","3010145","웹호프",,,"60403","항공사/여행사","5213014400101240005","전북특별자치도","군산시","나운동",,"124-5","5213014400","5213070200","521304604136","나운2길","58","126.705397733641","35.9639854311253","다마283744","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015056","장소","관광지","3010258","두근두근제주투어",,,"60403","항공사/여행사","5011012200107610011","제주특별자치도","제주시","노형동",,"761-11","5011012200","5011066000","501104848806","진군중길","21","126.479581763747","33.4771530375333","다나051988","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015057","장소","관광지","3010275","비케이여행사",,,"60403","항공사/여행사","1141011600100720021","서울특별시","서대문구","창천동",,"72-21","1141011600","1141058500","114103005057","신촌로","67","126.934042240469","37.5565034201066","다사500509","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015058","장소","관광지","3010281","투어테일러",,,"60403","항공사/여행사","1168010100108370011","서울특별시","강남구","역삼동",,"837-11","1168010100","1168064000","116802102001","강남대로","310","127.031485853772","37.490983195587","다사585436","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015059","장소","관광지","3010333","투어고클럽",,,"60403","항공사/여행사","3011010500105570000","대전광역시","동구","가오동",,"557","3011010500","3011053000","301103010015","은어송로","72","127.457985920138","36.3069677791949","다바962121","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015060","장소","관광지","3010445","하나트레블센스",,,"60403","항공사/여행사","4127310100106810002","경기도","안산시 단원구","고잔동",,"681-2","4127310100","4127353500","412733190012","광덕4로","96","126.823148408391","37.3152306158253","다사400242","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015061","장소","관광지","3010464","명보여행사",,,"60403","항공사/여행사","1114012700100010001","서울특별시","중구","명동2가",,"1-1","1114012700","1114055000","111404103165","명동길","74","126.987294079569","37.5632464754335","다사547516","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015062","장소","관광지","3010471","리치투어",,,"60403","항공사/여행사","2920011900111590000","광주광역시","광산구","신가동",,"1159","2920011900","2920063700","292003163026","수완로","6","126.829891234193","35.1860022905394","다라389880","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015063","장소","관광지","3010574","세부인사이드",,,"60403","항공사/여행사","4119210800111430003","경기도","부천시 원미구","중동",,"1143-3","4119210800","4119263000","411924352521","중동로254번길","78","126.773118114112","37.5015921354991","다사357449","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015064","장소","관광지","3010637","인터코어",,,"60403","항공사/여행사","4127310900109680009","경기도","안산시 단원구","선부동",,"968-9","4127310900","4127359000","412734373376","지곡로2길","27-4","126.804422765972","37.3359759793181","다사383265","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000015065","장소","관광지","3010793","엑셀투어네트워크",,,"60403","항공사/여행사","1120011500102890005","서울특별시","성동구","성수동2가",,"289-5","1120011500","1120069000","112004109398","아차산로7나길","18","127.05746030914","37.5477017986876","다사609499","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
